hour_key,date_key,date,hour_start,hour_end,hour_start_ts,hour_end_ts,production_units_reported,operation_record_count,monitored_time_h,operation_time_h,downtime_h,published_efficiency,calculated_efficiency,time_reconciliation_variance_h,source_coverage
2022092014,20220920,2022-09-20T00:00:00,14,15,2022-09-20T14:00:00,2022-09-20T15:00:00,219.0,2.0,1.6666666666666652,0.8412355555555535,0.8254311111111117,0.5047413333333326,0.5047413333333326,0.0,Both
2022092015,20220920,2022-09-20T00:00:00,15,16,2022-09-20T15:00:00,2022-09-20T16:00:00,,1.0,0.9999999999999991,0.44429388888889104,0.5557061111111081,0.44429388888889143,0.44429388888889143,0.0,Operations only
2022092016,20220920,2022-09-20T00:00:00,16,17,2022-09-20T16:00:00,2022-09-20T17:00:00,,1.0,0.49999999999999956,0.42083666666666864,0.07916333333333098,0.841673333333338,0.841673333333338,-5.551115123125783e-17,Operations only
2022092211,20220922,2022-09-22T00:00:00,11,12,2022-09-22T11:00:00,2022-09-22T12:00:00,428.0,,,,,,,,Output only
2022092213,20220922,2022-09-22T00:00:00,13,14,2022-09-22T13:00:00,2022-09-22T14:00:00,214.0,,,,,,,,Output only
2022092214,20220922,2022-09-22T00:00:00,14,15,2022-09-22T14:00:00,2022-09-22T15:00:00,330.0,,,,,,,,Output only
2022092215,20220922,2022-09-22T00:00:00,15,16,2022-09-22T15:00:00,2022-09-22T16:00:00,243.0,,,,,,,,Output only
2022092216,20220922,2022-09-22T00:00:00,16,17,2022-09-22T16:00:00,2022-09-22T17:00:00,191.0,,,,,,,,Output only
2022092814,20220928,2022-09-28T00:00:00,14,15,2022-09-28T14:00:00,2022-09-28T15:00:00,116.0,1.0,0.33333333333333304,0.2374466666666671,0.09588666666666594,0.712340000000002,0.712340000000002,-1.3877787807814457e-17,Both
2022092815,20220928,2022-09-28T00:00:00,15,16,2022-09-28T15:00:00,2022-09-28T16:00:00,290.0,1.0,0.7499999999999994,0.5291597222222202,0.2208402777777792,0.7055462962962941,0.7055462962962941,5.551115123125783e-17,Both
