downtime_id,date_key,date,downtime_start_ts,downtime_end_ts,start_hour,reported_duration_minutes,calculated_duration_minutes,duration_variance_seconds,duration_band
downtime_057,20220722,2022-07-22T00:00:00,2022-07-22T18:06:39,2022-07-22T18:10:39,18,4.000133333333333,4.000133333333333,0.0,1–5 min
downtime_058,20220722,2022-07-22T00:00:00,2022-07-22T18:14:24,2022-07-22T18:18:09,18,3.74995,3.74995,0.0,1–5 min
downtime_059,20220722,2022-07-22T00:00:00,2022-07-22T18:22:09,2022-07-22T18:23:09,18,0.99995,0.99995,0.0,<1 min
downtime_060,20220722,2022-07-22T00:00:00,2022-07-22T18:23:39,2022-07-22T18:25:39,18,1.9994333333333332,1.9994333333333332,0.0,1–5 min
downtime_061,20220722,2022-07-22T00:00:00,2022-07-22T18:29:39,2022-07-22T18:33:24,18,3.7510499999999998,3.7510499999999998,0.0,1–5 min
downtime_062,20220722,2022-07-22T00:00:00,2022-07-22T18:34:24,2022-07-22T18:34:54,18,0.50025,0.50025,0.0,<1 min
downtime_063,20220722,2022-07-22T00:00:00,2022-07-22T18:37:09,2022-07-22T18:39:09,18,2.0000666666666667,2.0000666666666667,0.0,1–5 min
downtime_064,20220722,2022-07-22T00:00:00,2022-07-22T18:41:24,2022-07-22T18:48:39,18,7.251099999999999,7.251099999999999,0.0,5–15 min
downtime_065,20220722,2022-07-22T00:00:00,2022-07-22T19:59:09,2022-07-22T20:01:09,19,1.9999833333333332,1.9999833333333332,0.0,1–5 min
downtime_066,20220722,2022-07-22T00:00:00,2022-07-22T20:02:24,2022-07-22T20:04:09,20,1.7502666666666669,1.7502666666666669,0.0,1–5 min
downtime_067,20220722,2022-07-22T00:00:00,2022-07-22T20:06:39,2022-07-22T20:10:09,20,3.5001166666666665,3.5001166666666665,0.0,1–5 min
downtime_068,20220722,2022-07-22T00:00:00,2022-07-22T20:11:24,2022-07-22T20:19:24,20,8.000083333333333,8.000083333333333,0.0,5–15 min
downtime_069,20220722,2022-07-22T00:00:00,2022-07-22T20:20:24,2022-07-22T20:21:09,20,0.7499666666666667,0.7499666666666667,0.0,<1 min
